Variable,Statistic Value,P value,Normal
Fx,0.944518268,7.89E-21,FALSE
Fy,0.995104134,0.000616655,FALSE
Fz,0.928337395,1.60E-23,FALSE
Cx,0.944518268,7.89E-21,FALSE
Cy,0.995104134,0.000616655,FALSE
Cz,0.928337395,1.60E-23,FALSE
Mx,0.944518268,7.89E-21,FALSE
My,0.995104134,0.000616655,FALSE
Mz,0.928337395,1.60E-23,FALSE
AnkleAngles_x,0.941058099,1.89E-21,FALSE
AnkleAngles_y,0.978502452,2.22E-12,FALSE
AnkleAngles_z,0.979489028,5.05E-12,FALSE
KneeAngles_x,0.966559649,5.09E-16,FALSE
KneeAngles_y,0.946651995,1.97E-20,FALSE
KneeAngles_z,0.980682552,1.41E-11,FALSE
HipAngles_x,0.994733989,0.00032139,FALSE
HipAngles_y,0.977065623,7.02E-13,FALSE
HipAngles_z,0.981631398,3.29E-11,FALSE
FootProgressAngles_x,0.762672424,1.89E-38,FALSE
FootProgressAngles_y,0.993674695,5.44E-05,FALSE
FootProgressAngles_z,0.809274793,1.94E-35,FALSE
PelvisAngles_x,0.972064853,1.78E-14,FALSE
PelvisAngles_y,0.981876612,4.12E-11,FALSE
PelvisAngles_z,0.995100081,0.000612181,FALSE
AnkleForce_x,0.821404636,1.47E-34,FALSE
AnkleForce_y,0.967865109,1.14E-15,FALSE
AnkleForce_z,0.77231288,7.19E-38,FALSE
KneeForce_x,0.976039648,3.17E-13,FALSE
KneeForce_y,0.967351854,8.28E-16,FALSE
KneeForce_z,0.901595592,4.22E-27,FALSE
HipForce_x,0.994190037,0.000127023,FALSE
HipForce_y,0.986856818,6.18E-09,FALSE
HipForce_z,0.831440866,8.59E-34,FALSE
AnkleMoment_x,0.997800827,0.108514905,TRUE
AnkleMoment_y,0.856542587,1.05E-31,FALSE
AnkleMoment_z,0.987805426,1.82E-08,FALSE
KneeMoment_x,0.990138531,3.21E-07,FALSE
KneeMoment_y,0.985845149,2.05E-09,FALSE
KneeMoment_z,0.969941676,4.30E-15,FALSE
HipMoment_x,0.987085342,7.98E-09,FALSE
HipMoment_y,0.989751697,1.95E-07,FALSE
HipMoment_z,0.826689005,3.69E-34,FALSE
AnklePower_z,0.991626203,2.44E-06,FALSE
KneePower_z,0.987530291,1.32E-08,FALSE
HipPower_z,0.99303323,1.97E-05,FALSE
AnkleAngles_x',0.994846344,0.000390973,FALSE
AnkleAngles_y',0.986725986,5.34E-09,FALSE
AnkleAngles_z',0.997662067,0.082707129,TRUE
KneeAngles_x',0.972778738,2.93E-14,FALSE
KneeAngles_y',0.960013151,1.22E-17,FALSE
KneeAngles_z',0.992448151,8.08E-06,FALSE
HipAngles_x',0.978331387,1.93E-12,FALSE
HipAngles_y',0.996201634,0.004690908,FALSE
HipAngles_z',0.983973563,3.02E-10,FALSE
FootProgressAngles_x',0.981808364,3.87E-11,FALSE
FootProgressAngles_y',0.991621435,2.42E-06,FALSE
FootProgressAngles_z',0.990394533,4.50E-07,FALSE
PelvisAngles_x',0.994030595,9.74E-05,FALSE
PelvisAngles_y',0.990265608,3.79E-07,FALSE
PelvisAngles_z',0.994378865,0.000174635,FALSE
AnkleForce_x',0.760063648,1.32E-38,FALSE
AnkleForce_y',0.980653703,1.38E-11,FALSE
AnkleForce_z',0.802191615,6.23E-36,FALSE
KneeForce_x',0.888210893,1.29E-28,FALSE
KneeForce_y',0.987881601,1.98E-08,FALSE
KneeForce_z',0.855495512,8.47E-32,FALSE
HipForce_x',0.967227578,7.67E-16,FALSE
HipForce_y',0.973596632,5.22E-14,FALSE
HipForce_z',0.859796047,2.05E-31,FALSE
AnkleMoment_x',0.676062942,5.84E-43,FALSE
AnkleMoment_y',0.843345404,7.77E-33,FALSE
AnkleMoment_z',0.995363176,0.000982574,FALSE
KneeMoment_x',0.987576306,1.39E-08,FALSE
KneeMoment_y',0.997343183,0.043997683,FALSE
KneeMoment_z',0.984862149,7.37E-10,FALSE
HipMoment_x',0.982668042,8.57E-11,FALSE
HipMoment_y',0.989844918,2.19E-07,FALSE
HipMoment_z',0.989444673,1.32E-07,FALSE
AnklePower_z',0.683240056,1.26E-42,FALSE
KneePower_z',0.966170967,4.03E-16,FALSE
HipPower_z',0.980692327,1.42E-11,FALSE
AnkleAngles_x'',0.992553413,9.46E-06,FALSE
AnkleAngles_y'',0.980674505,1.40E-11,FALSE
AnkleAngles_z'',0.972491205,2.40E-14,FALSE
KneeAngles_x'',0.997443378,0.0536801,TRUE
KneeAngles_y'',0.953832269,5.27E-19,FALSE
KneeAngles_z'',0.979662061,5.85E-12,FALSE
HipAngles_x'',0.913166881,1.17E-25,FALSE
HipAngles_y'',0.865211308,6.43E-31,FALSE
HipAngles_z'',0.979573965,5.43E-12,FALSE
FootProgressAngles_x'',0.997813761,0.111280479,TRUE
FootProgressAngles_y'',0.955974162,1.51E-18,FALSE
FootProgressAngles_z'',0.992811978,1.40E-05,FALSE
PelvisAngles_x'',0.988994896,7.53E-08,FALSE
PelvisAngles_y'',0.921260834,1.48E-24,FALSE
PelvisAngles_z'',0.997091711,0.02669842,FALSE
AnkleForce_x'',0.809752941,2.10E-35,FALSE
AnkleForce_y'',0.937335193,4.34E-22,FALSE
AnkleForce_z'',0.905339003,1.20E-26,FALSE
KneeForce_x'',0.784073889,3.92E-37,FALSE
KneeForce_y'',0.965672135,2.99E-16,FALSE
KneeForce_z'',0.825831354,3.18E-34,FALSE
HipForce_x'',0.815658391,5.57E-35,FALSE
HipForce_y'',0.881464183,2.51E-29,FALSE
HipForce_z'',0.850432396,3.07E-32,FALSE
AnkleMoment_x'',0.920568049,1.18E-24,FALSE
AnkleMoment_y'',0.95166415,1.88E-19,FALSE
AnkleMoment_z'',0.961616457,2.92E-17,FALSE
KneeMoment_x'',0.781049609,2.52E-37,FALSE
KneeMoment_y'',0.941903234,2.66E-21,FALSE
KneeMoment_z'',0.95564419,1.28E-18,FALSE
HipMoment_x'',0.773697615,8.75E-38,FALSE
HipMoment_y'',0.854514062,6.94E-32,FALSE
HipMoment_z'',0.896501005,1.07E-27,FALSE
AnklePower_z'',0.773533821,8.55E-38,FALSE
KneePower_z'',0.559720159,0,FALSE
HipPower_z'',0.346057653,0,FALSE